Year,Mean,SD,Pop,Pop_desc,Wolf_control_pen
1995,NA,NA,1,Control,0
1996,NA,NA,1,Control,0
1997,NA,NA,1,Control,0
1998,NA,NA,1,Control,0
1999,NA,NA,1,Control,0
2000,NA,NA,1,Control,0
2001,NA,NA,1,Control,0
2002,0.857,0.132,1,Control,0
2003,1,0,1,Control,0
2004,1,0,1,Control,0
2005,0.875,0.117,1,Control,0
2006,0.876,0.117,1,Control,0
2007,0.348,0.197,1,Control,0
2008,0.623,0.214,1,Control,0
2009,0.802,0.178,1,Control,0
2010,0.664,0.272,1,Control,0
2011,0.603,0.219,1,Control,0
2012,0.665,0.274,1,Control,0
2013,1,0,1,Control,0
2014,0.6,0.22,1,Control,0
2015,1,0,1,Control,1
2016,0.667,0.156,1,Control,1
2017,0.846,0.101,1,Control,1
2018,1,0,1,Control,1
2019,0.727,0.135,1,Control,1
2020,0.917,0.08,1,Control,1
2021,NA,NA,1,Control,1
1995,NA,NA,2,Pen,0
1996,NA,NA,2,Pen,0
1997,NA,NA,2,Pen,0
1998,NA,NA,2,Pen,0
1999,NA,NA,2,Pen,0
2000,NA,NA,2,Pen,0
2001,NA,NA,2,Pen,0
2002,NA,NA,2,Pen,0
2003,NA,NA,2,Pen,0
2004,NA,NA,2,Pen,0
2005,NA,NA,2,Pen,0
2006,NA,NA,2,Pen,0
2007,NA,NA,2,Pen,0
2008,NA,NA,2,Pen,0
2009,NA,NA,2,Pen,0
2010,NA,NA,2,Pen,0
2011,NA,NA,2,Pen,0
2012,NA,NA,2,Pen,0
2013,NA,NA,2,Pen,0
2014,0.8,0.126,2,Pen,0
2015,1,0,2,Pen,1
2016,1,0,2,Pen,1
2017,0.89,0.104,2,Pen,1
2018,0.834,0.108,2,Pen,1
2019,0.937,0.062,2,Pen,1
2020,1,0,2,Pen,1
2021,NA,NA,2,Pen,1
